c ******************* 786 **************************** c

Ref: "Electron-ion recombination rate coefficients for Si I, Si II, S II,
    S III, C II, and C-like ions C I, N II, O III, F IV, Ne V, Na VI, Mg VII,
    Al VIII, Si IX, and S XI", Sultana N. Nahar, Astrophys. J. Suppl.
    101, 423 (1995), Astrophys. J. Suppl. 106, 213 (1996)

c **************************************************** c


 C I : Recombination Rate Coefficients (RRC) - State-Specific & Total

          Process: C II + e -> C I + h\nu



Contents of the file:
---------------------

i) Information of the core (target) states used in the wavefunction

ii) Recombined states and their energies

iii) State-specific RRC: LS State id, BE(Ry), RRC(T) at 81 T(K)-values

iv) Total RRC: sum of state-specific RRC + rest contributions:


--------------------------------------------------------------------------

i) Information of the core (target) states used in the wavefunction
-------------------------------------------------------------------

Explanation of target lines:
---------------------------
Line 1: Z, Ne(number of core electrons), ignore rest of the numbers
Line 2: Ntg = number of target/core states
Lines(=Ntg): columns are - icx (target/core state number), (2S+1), L, 
     pi(=0 for even, =1 for odd), E(Ry), Configuration of the core
These are followed by equivalent electron configurations of recombined ion
--------------------------------------------------------------

 target information:
    6    5    T  2  9  1
   10
    2    1    1  0.000000E+00  2s22p           
    4    1    0  0.391800E+00  2s2p2           
    2    2    0  0.682400E+00  2s2p2           
    2    0    0  0.878900E+00  2s2p2           
    2    1    0  0.100800E+01  2s2p2           
    2    0    0  0.106160E+01  2s23s           
    2    1    1  0.120000E+01  2s23p           
    4    0    1  0.129390E+01  2p3             
    2    2    1  0.137080E+01  2p3             
    2    1    1  0.153730E+01  2p3             
    3
 2s22p2              
 2s2p3               
 2p3                 

--------------------------------------------------------------------------

ii) Recombined states and their energies
----------------------------------------

Explanation of energy table:
----------------------------

e(j) = energy in Ry

levelid = encoded state id in format:

      SLLpZZNN.nnlf

  where for the digit spaces,
      S=2S+1, LL=L (numerical), p=parity(= 0 even, 1 odd), 
      ZZ=Z-1 for valence electron state & =Z for equivalent electron state, 
      NN=target/core state number (icx of Table i), 
      nn=n-principle Q.N., l=orbital angular momentum (numerical) of outer
      electron, f=identification code (ignore it)
  Ex: 10100501.0310 -> state=1Se ZZ=5 giving (Z=6), icx=1, nl = 3p 

stwt = Statistial weight factor of the state
-------------------------------------------

 zznn,mtot,nlev,nhyd,nmax,lmax =   605  263  263    0   10    9


  energy levels for (e + zznn) =   606

   j      e(j)         levid         stwt


    1  -0.8452E+00  30100601.0000      9.0
    2  -0.7495E+00  10200602.0000      5.0
    3  -0.6354E+00  10000603.0000      1.0
    4  -0.2931E+00  30110607.0000      9.0
    5  -0.2767E+00  10110608.0000      3.0
    6  -0.2625E+00  30210605.0000     15.0
    7  -0.2104E+00  10100501.0310      3.0
    8  -0.2015E+00  30200501.0310     15.0
    9  -0.1904E+00  30000501.0310      3.0
   10  -0.1825E+00  30100501.0310      9.0
   11  -0.1686E+00  10200501.0310      5.0
   12  -0.1527E+00  10000501.0310      1.0
   13  -0.1522E+00  30110501.0300      9.0
   14  -0.1221E+00  10210606.0000      5.0
   15  -0.1191E+00  30110501.0400      9.0
   16  -0.1173E+00  10110501.0300      3.0
   17  -0.1165E+00  30310501.0320     21.0
   18  -0.1151E+00  30210501.0320     15.0
   19  -0.1132E+00  10310501.0320      7.0
   20  -0.1110E+00  10110501.0320      3.0
   21  -0.1071E+00  30110501.0320      9.0
   22  -0.9875E-01  10100501.0410      3.0
   23  -0.9687E-01  30200501.0410     15.0
   24  -0.9457E-01  30000501.0410      3.0
   25  -0.9181E-01  30100501.0410      9.0
   26  -0.8731E-01  10200501.0410      5.0
   27  -0.8161E-01  10000501.0410      1.0
   28  -0.6815E-01  10210501.0320      5.0
   29  -0.6538E-01  30110501.0500      9.0
   30  -0.6535E-01  30310501.0420     21.0
   31  -0.6459E-01  10110501.0400      3.0
   32  -0.6441E-01  30210501.0420     15.0
   33  -0.6351E-01  10310501.0420      7.0
   34  -0.6275E-01  10300501.0430      7.0
   35  -0.6275E-01  30300501.0430     21.0
   36  -0.6254E-01  10110501.0420      3.0
   37  -0.6252E-01  30400501.0430     27.0
   38  -0.6252E-01  10400501.0430      9.0
   39  -0.6244E-01  30200501.0430     15.0
   40  -0.6244E-01  10200501.0430      5.0
   41  -0.6206E-01  30110501.0420      9.0
   42  -0.5638E-01  10100501.0510      3.0
   43  -0.5563E-01  30200501.0510     15.0
   44  -0.5474E-01  30000501.0510      3.0
   45  -0.5372E-01  30100501.0510      9.0
   46  -0.5183E-01  10200501.0510      5.0
   47  -0.4943E-01  10000501.0510      1.0
   48  -0.4317E-01  10210501.0420      5.0
   49  -0.4156E-01  30310501.0520     21.0
   50  -0.4136E-01  30110501.0600      9.0
   51  -0.4102E-01  30210501.0520     15.0
