#iv) Total RRC: sum of state-specific RRC + rest contributions:
#--------------------------------------------------------------
#o Use the last column for the total RRC
#o Temparature is in K
#------------------------------
#TOTAL RECOMBINATION RATE COEFFICIENTS (RRC):
#  81 =temperatures
#log(T)   RRC(low n)    RRC(DR)   HRC(n=11,inf)  RRC(high n)  RRC(total)
  1.0     1.8355E-11   0.0000E+00   1.7754E-11   1.7754E-11   3.6109E-11
  1.1     1.6356E-11   0.0000E+00   1.5192E-11   1.5192E-11   3.1548E-11
  1.2     1.4574E-11   0.0000E+00   1.2933E-11   1.2933E-11   2.7507E-11
  1.3     1.2985E-11  5.8830e-2320   1.1059E-11   1.1059E-11   2.4044E-11
  1.4     1.1569E-11  9.8640e-1845   9.3818E-12   9.3818E-12   2.0951E-11
  1.5     1.0306E-11  2.9434e-1467   7.9583E-12   7.9583E-12   1.8264E-11
  1.6     9.1800E-12  1.9891e-1167   6.7369E-12   6.7369E-12   1.5917E-11
  1.7     8.1759E-12   2.8399e-929   5.6862E-12   5.6862E-12   1.3862E-11
  1.8     7.2803E-12   4.1509e-740   4.7882E-12   4.7882E-12   1.2068E-11
  1.9     6.4816E-12   7.4092e-590   4.0175E-12   4.0175E-12   1.0499E-11
  2.0     5.7690E-12   1.6317e-470   3.3626E-12   3.3626E-12   9.1316E-12
  2.1     5.1332E-12   1.0132e-375   2.8062E-12   2.8062E-12   7.9394E-12
  2.2     4.5659E-12   2.0051e-300   2.3245E-12   2.3245E-12   6.8904E-12
  2.3     4.0595E-12   1.3193e-240   1.9329E-12   1.9329E-12   5.9924E-12
  2.4     3.6075E-12   4.5361e-193   1.5898E-12   1.5898E-12   5.1973E-12
  2.5     3.2041E-12   2.7921e-155   1.3055E-12   1.3055E-12   4.5096E-12
  2.6     2.8439E-12   3.0738e-125   1.0676E-12   1.0676E-12   3.9115E-12
  2.7     2.5226E-12   2.2898e-101   8.6886E-13   8.6886E-13   3.3915E-12
  2.8     2.2359E-12   2.0686E-82   7.0411E-13   7.0411E-13   2.9400E-12
  2.9     1.9804E-12   2.2683E-67   5.6740E-13   5.6740E-13   2.5478E-12
  3.0     1.7530E-12   1.9014E-55   4.5539E-13   4.5539E-13   2.2084E-12
  3.1     1.5509E-12   5.2893E-46   3.6386E-13   3.6386E-13   1.9148E-12
  3.2     1.3722E-12   1.5731E-38   2.8795E-13   2.8795E-13   1.6601E-12
  3.3     1.2150E-12   1.2691E-32   2.2890E-13   2.2890E-13   1.4439E-12
  3.4     1.0782E-12   5.8248E-28   1.7954E-13   1.7954E-13   1.2577E-12
  3.5     9.6110E-13   2.7408E-24   1.4060E-13   1.4060E-13   1.1017E-12
  3.6     8.6277E-13   2.1117E-21   1.0967E-13   1.0967E-13   9.7244E-13
  3.7     7.8219E-13   3.8673E-19   8.5110E-14   8.5110E-14   8.6730E-13
  3.8     7.1893E-13   2.2668E-17   6.5815E-14   6.5838E-14   7.8477E-13
  3.9     6.7338E-13   5.4025E-16   5.0636E-14   5.1176E-14   7.2456E-13
  4.0     6.4520E-13   6.3573E-15   3.8850E-14   4.5207E-14   6.9041E-13
  4.1     6.3244E-13   4.3239E-14   2.9715E-14   7.2954E-14   7.0539E-13
  4.2     6.3533E-13   1.9248E-13   2.2525E-14   2.1500E-13   8.5033E-13
  4.3     6.6364E-13   6.1506E-13   1.7210E-14   6.3227E-13   1.2959E-12
  4.4     7.3773E-13   1.5058E-12   1.2979E-14   1.5188E-12   2.2565E-12
  4.5     8.7386E-13   2.9579E-12   9.7988E-15   2.9677E-12   3.8416E-12
  4.6     1.0626E-12   4.8299E-12   7.3835E-15   4.8373E-12   5.8999E-12
  4.7     1.2633E-12   6.7534E-12   5.5479E-15   6.7589E-12   8.0222E-12
  4.8     1.4230E-12   8.2978E-12   4.1635E-15   8.3020E-12   9.7250E-12
  4.9     1.5022E-12   9.1637E-12   3.1159E-15   9.1669E-12   1.0669E-11
  5.0     1.4891E-12   9.2739E-12   2.3313E-15   9.2762E-12   1.0765E-11
  5.1     1.3923E-12   8.7426E-12   1.7436E-15   8.7444E-12   1.0137E-11
  5.2     1.2458E-12   7.7826E-12   1.2953E-15   7.7839E-12   9.0297E-12
  5.3     1.0747E-12   6.6155E-12   9.6436E-16   6.6165E-12   7.6912E-12
  5.4     8.9822E-13   5.4191E-12   7.1138E-16   5.4198E-12   6.3181E-12
