c ******************* 786 **************************** c

Ref: "Electron-Ion Recombination Rate Coefficients, Photoionization Cross
    Sections, and Ionization Fractions for Astrophysically Abundant
    Elements II. Oxygen Ions", Sultana N. Nahar, Astrophys. J. Suppl. 120,
    131 (1999)

c **************************************************** c


 O I : Recombination Rate Coefficients (RRC) - State-Specific & Total

          Process:  O II + e ->  O I + h\nu




Contents of the file:
---------------------

i) Information of the core (target) states used in the wavefunction

ii) Recombined states and their energies

iii) State-specific RRC: LS State id, BE(Ry), RRC(T) at 81 T(K)-values

iv) Total RRC: sum of state-specific RRC + rest contributions:

----------------------------------------------------------------------------

i) Information of the core (target) states used in the wavefunction
-------------------------------------------------------------------

Explanation of target lines:
---------------------------
Line 1: Z, Ne(number of core electrons), ignore rest of the numbers

Line 2: Ntg = number of target/core states

Lines(=Ntg): columns are - icx (target/core state number), (2S+1), L,
     pi(=0 for even, =1 for odd), E(Ry), Configuration of the core
These are followed by equivalent electron configurations of recombined ion
--------------------------------------------------------------

 target information
 --------------------
    8    7    T  9  1
    8
    4    0    1  0.000000E+00  2s22p3          
    2    2    1  0.244389E+00  2s22p3          
    2    1    1  0.368778E+00  2s22p3          
    4    1    0  0.109291E+01  2s2p4           
    2    2    0  0.151263E+01  2s2p4           
    4    1    0  0.168951E+01  2s22p23         
    2    1    0  0.172237E+01  2s22p23         
    2    0    0  0.178345E+01  2s2p4           
    2
 2s22p4              
 2s2p5               

------------------------------------------------------------------------

ii) Recombined states and their energies
----------------------------------------

Explanation of energy table:
----------------------------

e(j) = energy in Ry

levelid = encoded state id in format:

      SLLpZZNN.nnlf

  where for the digit spaces,
      S=2S+1, LL=L (numerical), p=parity(= 0 even, 1 odd),
      ZZ=Z-1 for valence electron state & =Z for equivalent electron state,
      NN=target/core state number (icx of Table i),
      nn=n-principle Q.N., l=orbital angular momentum (numerical) of outer
      electron, f=identification code (ignore it)
  Ex: 10100501.0310 -> state=1Se ZZ=5 giving (Z=6), icx=1, nl = 3p

stwt = Statistial weight factor of the state
-------------------------------------------

  energy levels for (e + zznn) =   808

   j      e(j)         levid         stwt


    1  -0.9912E+00  30100800.0000      9.0
    2  -0.3330E+00  50010701.0300      5.0
    3  -0.3056E+00  30010701.0300      3.0
    4  -0.2126E+00  50100701.0310     15.0
    5  -0.1925E+00  30100701.0310      9.0
    6  -0.1301E+00  50010701.0400      5.0
    7  -0.1234E+00  30010701.0400      3.0
    8  -0.1136E+00  50210701.0320     25.0
    9  -0.1122E+00  30210701.0320     15.0
   10  -0.9768E-01  50100701.0410     15.0
   11  -0.9186E-01  30100701.0410      9.0
   12  -0.7001E-01  50010701.0500      5.0
   13  -0.6735E-01  30010701.0500      3.0
   14  -0.6370E-01  50210701.0420     25.0
   15  -0.6312E-01  30210701.0420     15.0
   16  -0.6254E-01  50300701.0430     35.0
   17  -0.6254E-01  30300701.0430     21.0
   18  -0.5710E-01  30210702.0300     15.0
   19  -0.5644E-01  50100701.0510     15.0
   20  -0.5396E-01  30100701.0510      9.0
   21  -0.4373E-01  50010701.0600      5.0
   22  -0.4241E-01  30010701.0600      3.0
   23  -0.4064E-01  50210701.0520     25.0
   24  -0.4027E-01  30210701.0520     15.0
   25  -0.4002E-01  50300701.0530     35.0
   26  -0.4002E-01  30300701.0530     21.0
   27  -0.4000E-01  50410701.0540     45.0
   28  -0.4000E-01  30410701.0540     27.0
   29  -0.3680E-01  50100701.0610     15.0
   30  -0.3552E-01  30100701.0610      9.0
   31  -0.2990E-01  50010701.0700      5.0
   32  -0.2915E-01  30010701.0700      3.0
   33  -0.2815E-01  50210701.0620     25.0
   34  -0.2794E-01  30210701.0620     15.0
   35  -0.2779E-01  50300701.0630     35.0
   36  -0.2779E-01  30300701.0630     21.0
   37  -0.2778E-01  50410701.0640     45.0
   38  -0.2778E-01  30410701.0640     27.0
   39  -0.2778E-01  50500701.0650     55.0
   40  -0.2778E-01  30500701.0650     33.0
   41  -0.2589E-01  50100701.0710     15.0
   42  -0.2515E-01  30100701.0710      9.0
   43  -0.2173E-01  50010701.0800      5.0
   44  -0.2126E-01  30010701.0800      3.0
   45  -0.2065E-01  50210701.0720     25.0
   46  -0.2051E-01  30210701.0720     15.0
