#iv) Total RRC: sum of state-specific RRC + rest contributions:
#--------------------------------------------------------------
#o Use the last column for the total RRC
#o Temparature is in K
#------------------------------
#TOTAL RECOMBINATION RATE COEFFICIENTS (RRC):
#81 =temperatures
#
#log(T)   RRC(low n)    RRC(DR)   HRC(n=11,inf)  RRC(high n)  RRC(total)
#
  1.0     1.1376E-11   0.0000E+00   1.7754E-11   1.7754E-11   2.9130E-11
  1.1     1.0135E-11   0.0000E+00   1.5192E-11   1.5192E-11   2.5327E-11
  1.2     9.0287E-12   0.0000E+00   1.2933E-11   1.2933E-11   2.1962E-11
  1.3     8.0418E-12   0.0000E+00   1.1059E-11   1.1059E-11   1.9101E-11
  1.4     7.1617E-12   0.0000E+00   9.3818E-12   9.3818E-12   1.6543E-11
  1.5     6.3766E-12  6.6840e-2357   7.9583E-12   7.9583E-12   1.4335E-11
  1.6     5.6761E-12  5.2081e-1874   6.7369E-12   6.7369E-12   1.2413E-11
  1.7     5.0510E-12  1.9159e-1490   5.6862E-12   5.6862E-12   1.0737E-11
  1.8     4.4931E-12  8.9357e-1186   4.7882E-12   4.7882E-12   9.2813E-12
  1.9     3.9949E-12   8.9225e-944   4.0175E-12   4.0175E-12   8.0124E-12
  2.0     3.5500E-12   1.4816e-751   3.3626E-12   3.3626E-12   6.9126E-12
  2.1     3.1525E-12   7.1064e-599   2.8062E-12   2.8062E-12   5.9587E-12
  2.2     2.7971E-12   1.3446e-477   2.3245E-12   2.3245E-12   5.1216E-12
  2.3     2.4794E-12   2.9311e-381   1.9329E-12   1.9329E-12   4.4123E-12
  2.4     2.1953E-12   1.0137e-304   1.5898E-12   1.5898E-12   3.7851E-12
  2.5     1.9411E-12   6.6761e-244   1.3055E-12   1.3055E-12   3.2466E-12
  2.6     1.7137E-12   1.4223e-195   1.0676E-12   1.0676E-12   2.7813E-12
  2.7     1.5103E-12   3.5342e-157   8.6886E-13   8.6886E-13   2.3792E-12
  2.8     1.3284E-12   1.0968e-126   7.0411E-13   7.0411E-13   2.0325E-12
  2.9     1.1659E-12   1.7541e-102   5.6740E-13   5.6740E-13   1.7333E-12
  3.0     1.0209E-12   2.8000E-83   4.5539E-13   4.5539E-13   1.4763E-12
