#https://home.strw.leidenuniv.nl/~ewine/photo/radiation_fields.html
# Numerical radiation field:  habing1968
# wavelength: nm
# intensity: photons.s-1.cm-2.nm-1
# wavelength intensity
91.20000 5.48089e+05
92.20000 5.54099e+05
93.20000 5.60109e+05
94.20000 5.66118e+05
95.20000 5.72128e+05
96.20000 5.78138e+05
97.20000 5.84148e+05
98.20000 5.90157e+05
99.20000 5.96167e+05
100.20000 6.02177e+05
101.20000 6.08187e+05
102.20000 6.14196e+05
103.20000 6.20206e+05
104.20000 6.26216e+05
105.20000 6.32226e+05
106.20000 6.38235e+05
107.20000 6.44245e+05
108.20000 6.50255e+05
109.20000 6.56265e+05
110.20000 6.62274e+05
111.20000 6.68284e+05
112.20000 6.74294e+05
113.20000 6.80304e+05
114.20000 6.86313e+05
115.20000 6.92323e+05
116.20000 6.98333e+05
117.20000 7.04343e+05
118.20000 7.10352e+05
119.20000 7.16362e+05
120.20000 7.22372e+05
121.20000 7.28382e+05
122.20000 7.34391e+05
123.20000 7.40401e+05
124.20000 7.46411e+05
125.20000 7.52421e+05
126.20000 7.58430e+05
127.20000 7.64440e+05
128.20000 7.70450e+05
129.20000 7.76460e+05
130.20000 7.82469e+05
131.20000 7.88479e+05
132.20000 7.94489e+05
133.20000 8.00499e+05
134.20000 8.06508e+05
135.20000 8.12518e+05
136.20000 8.18528e+05
137.20000 8.24538e+05
138.20000 8.30547e+05
139.20000 8.36557e+05
140.20000 8.42567e+05
141.20000 8.48577e+05
142.20000 8.54586e+05
143.20000 8.60596e+05
144.20000 8.66606e+05
145.20000 8.72616e+05
146.20000 8.78625e+05
147.20000 8.84635e+05
148.20000 8.90645e+05
149.20000 8.96655e+05
150.20000 9.02664e+05
151.20000 9.08674e+05
152.20000 9.14684e+05
153.20000 9.20694e+05
154.20000 9.26703e+05
155.20000 9.32713e+05
156.20000 9.38723e+05
157.20000 9.44733e+05
158.20000 9.50742e+05
159.20000 9.56752e+05
160.20000 9.62762e+05
161.20000 9.68772e+05
162.20000 9.74781e+05
163.20000 9.80791e+05
164.20000 9.86801e+05
165.20000 9.92811e+05
166.20000 9.98820e+05
167.20000 1.00483e+06
168.20000 1.01084e+06
169.20000 1.01685e+06
170.20000 1.02286e+06
171.20000 1.02887e+06
172.20000 1.03488e+06
173.20000 1.04089e+06
174.20000 1.04690e+06
175.20000 1.05291e+06
176.20000 1.05892e+06
177.20000 1.06493e+06
178.20000 1.07094e+06
179.20000 1.07695e+06
180.20000 1.08296e+06
181.20000 1.08897e+06
182.20000 1.09498e+06
